gvkey,tic,conm,startdate,avg_price,avg_volume
001062,ASA,ASA GOLD AND PRECIOUS METALS,1983-12-30T00:00:00Z,14.9432647930887,216427.691766212
001352,GYLD,ARROW DOW JONES GLBL YLD ETF,2012-05-08T00:00:00Z,20.0129080449439,42329.242247191
006024,ICB,MORGAN STANLY INCOME SEC,1983-12-30T00:00:00Z,17.7485758962535,10973.1876657061
006657,SBF.1,SALOMON BROTHERS FUND INC,1983-12-30T00:00:00Z,14.167908343431,84589.2679591483
007543,MTS,MONTGOMERY STREET INCOME SEC,1983-12-30T00:00:00Z,17.8035828454478,10895.8138179112
010713,TY,TRI-CONTINENTAL CORP,1983-12-30T00:00:00Z,22.1240719709897,74388.3213523891
011983,EMLP,FIRST TRUST N AMER ENRG INFR,2012-06-21T00:00:00Z,23.6942231084777,413159.05834093
012641,FINZ,PROSHRS ULTRAPRO SH FINL SEL,2012-07-12T00:00:00Z,52.8169291752576,5848.82390463918
012643,EPRO,ADVISORSHARES EQUITYPRO ETF,2012-07-11T00:00:00Z,28.8784558850787,5780.73030583874
012888,SPFF,GLOBAL X SUPERINCM PFD ETF,2012-07-17T00:00:00Z,13.1071623334864,93211.0275608636
013655,QEH,ADVISORSHARES QAM EQUITY HDG,2012-08-08T00:00:00Z,27.3993162999186,2354.71638141809
013695,MDIV,FIRST TR ETF IV MULTI ASSET,2012-08-14T00:00:00Z,18.986048446917,162807.922114047
013696,TDIV,FIRST TR ETF IV NASDAQ TECH,2012-08-14T00:00:00Z,31.4576793231339,102748.598052851
014507,VEGA,ADVISORSHARES STAR GLB BYWRT,2012-09-18T00:00:00Z,28.6411969526489,3506.25879043601
014515,CXSE,WISDOMTREE CHINA EX-ST ENTRP,2012-09-19T00:00:00Z,33.4369,37496.2781425891
014667,FAX,ABERDEEN ASIA PACIFIC INCOME,1986-04-17T00:00:00Z,6.86843504888019,546471.690803683
014671,EXGI,ENGEX INC,1987-01-02T00:00:00Z,8.4868173709222,935.873201438849
014672,IAF,ABERDEEN AUSTRALIA EQTY FD,1985-12-16T00:00:00Z,8.83091801081319,46919.2101824735
014680,SUA.1,SUMMIT TAX EXEMPT BOND,1987-01-20T00:00:00Z,12.0329171291158,7808.54605993341
014692,CMU,MFS HIGH YIELD MUNICIPAL TR,1987-03-19T00:00:00Z,6.13410834014717,45339.3667795818
014693,SPR.2,STERLING CAPITAL CORP,1983-12-30T00:00:00Z,6.0709980976769,450.960307298336
014694,TWN,TAIWAN FUND INC,1986-12-16T00:00:00Z,19.689488897855,45628.7262608696
014695,TFA.,MORGAN STANDW MUNI INCOME TR,1987-09-23T00:00:00Z,9.6596143451143,31267.8645678646
014708,GAB,GABELLI EQUITY TRUST,1986-08-14T00:00:00Z,8.56963505166471,263742.675660161
014711,GOV.3,GLOBAL GVT PLUS FUND,1987-07-24T00:00:00Z,7.67449392523364,107552.757009346
014714,ASG,LIBERTY ALL-STAR GROWTH FUND,1986-03-06T00:00:00Z,7.3358395783747,60915.9308625184
014716,HQH,TEKLA HEALTHCARE INVESTORS,1987-04-23T00:00:00Z,18.1401882084309,67146.3549180328
014717,HAT,HATTERAS INCOME SECS,1983-12-30T00:00:00Z,15.5750808947665,2554.79272181579
014730,LNV,LINCOLN NATIONAL CV SEC,1986-06-20T00:00:00Z,15.1875575599583,9197.82648592284
014731,LND.1,LINCOLN NATIONAL INCOME FUND,1983-12-30T00:00:00Z,12.6993623256225,5014.41603390429
014748,NUV,NUVEEN MUNI VALUE FUND INC,1987-06-17T00:00:00Z,9.79011044240496,239420.060713025
014749,NNY,NUVEEN N Y MUNI VALUE FUND,1988-04-21T00:00:00Z,9.85038533494262,17212.5996378998
014751,OMS,OPPENHEIMER MULTI-SECTOR,1988-03-25T00:00:00Z,9.52095251089196,44704.4187113047
014752,PAI,WESTERN ASST INV GRD INCM FD,1983-12-30T00:00:00Z,14.388324096,12891.8877866667
014768,ALM.2,ALLMERICA SECS TR,1983-12-30T00:00:00Z,10.3284016129032,5990.2339595888
014773,UKM,UNITED KINGDOM FUND,1987-08-07T00:00:00Z,11.160304964539,13843.0597771023
014778,SI.2,ACM GVT SPECTRUM FUND,1988-05-20T00:00:00Z,7.71368289804902,75916.5198237886
014779,LEO,BNY MELLON STRATEGIC MUNS IN,1987-09-28T00:00:00Z,9.15461085073558,93126.5506644518
014782,CUR.1,CURRENT INCOME SHS,1983-12-30T00:00:00Z,11.6332230827557,3265.9445407279
014869,TLTD,FLEXSHARES MS DEV EX USF FD,2012-09-28T00:00:00Z,59.9169440941176,44180.6225882353
015209,BKF.1,BKF CAPITAL GROUP INC-OLD,1983-12-30T00:00:00Z,102.058771911461,5871.68945142357
015369,AAF.,AMERICAN GVT INCOME PORTFOL,1988-09-23T00:00:00Z,8.64440734824273,39561.2220447284
015370,9495B,AMERICAN GVT TERM TR,1989-01-20T00:00:00Z,9.81164257028112,9109.92541594951
015372,CXE,MFS HIGH INCOME MUNI TRUST,1989-02-17T00:00:00Z,6.53875967801855,58172.0326934985
015387,OWB,OPPENHEIMER WORLD BOND FD,1988-11-23T00:00:00Z,8.16160471976394,11412.3050990308
015388,PDF,HANCOCK J PATRIOT PREM DIV,1988-10-21T00:00:00Z,9.24477500531346,22805.6410201913
015389,PHY,PROSPECT STREET HI INCOME,1988-11-28T00:00:00Z,8.8216420551188,53342.055126557
015390,PYM,PUTNAM HI YIELD MUNI,1989-05-19T00:00:00Z,8.79778549650643,31210.8289222952
015391,PMM,PUTNAM MANAGED MUNI INCOME,1989-02-17T00:00:00Z,8.49268334365323,90896.5131888545
015392,JMM,NUVEEN MULTI-MKT INCM FD,1988-12-27T00:00:00Z,8.52813094797823,19141.2528353057
015393,TFC.2,SHELTON GREATER CHINA FUND,1989-05-12T00:00:00Z,7.70901262178917,83896.7821080602
015422,RAVI,FLEXSHARES READY ACCESS VAR,2012-10-11T00:00:00Z,75.5129949905482,16856.5241020794
016012,SPHD,INVESCO S&P 500 HI DIV LO VL,2012-10-18T00:00:00Z,35.6147990525817,473365.764566556
016022,IXUS,ISHARES CORE MSCI TOTAL INTL,2012-10-22T00:00:00Z,56.2025409198673,625317.002370792
016023,IEFA,ISHARES CORE MSCI EAFE ETF,2012-10-22T00:00:00Z,58.971964248459,4802268.03888099
016024,IEMG,ISHARES CORE MSCI EMERG MKT,2012-10-22T00:00:00Z,49.5903216690375,8261810.03888099
016103,SPPP,SPROTT PHYSICAL PLAT & PALLA,2012-12-19T00:00:00Z,9.82502966183576,92047.3763285024
016306,CRIUF,CRIUS ENERGY TRUST,2013-09-20T00:00:00Z,6.11052223972004,11733.1216097988
016484,NCA,NUVEEN CAL MUNI VAL FD,1987-10-07T00:00:00Z,9.9193935043344,30699.616316352
016539,MSXX,FACTORSHS PUREFUNDS MINING,2012-11-29T00:00:00Z,18.0965636678201,5512.70934256055
016540,SILJ,ETFMG PRIME JUNIOR SILVR ETF,2012-11-29T00:00:00Z,11.1600600767754,257424.661228407
016578,HTR,BROOKFIELD TOTAL RETURN FUND,1989-07-28T00:00:00Z,33.1418616746481,21551.8467929183
016584,PDI.,PUTNAM DIVIDEND INCOME FUND,1989-09-22T00:00:00Z,10.3944681288553,17340.0582590816
016585,PGM.1,PUTNAM INVT GRADE MUN TR,1989-10-20T00:00:00Z,11.8957377489177,28383.0238095238
016607,PHDG,INVESCO S&P 500 DWNSD HG ETF,2012-12-06T00:00:00Z,27.4240973544974,58773.4088504089
016634,ALII.1,ALLIED CAPITAL CORP II,1989-10-26T00:00:00Z,17.3336208897485,18425.1934235977
016768,GSGO,ALPS/GS MB GROWTH MKT EQ &T,2012-12-20T00:00:00Z,21.7866313679245,1757.1179245283
